listing_id,label
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,1
